code	legality	section	field	text
E01.01	ENTRY-LEGAL	A. Identity & Geometry	start_time	UTC hour-of-day (0-23)
E01.02	ENTRY-LEGAL	A. Identity & Geometry	start_time	Trading session tag: Asia / London / NY / overlap
E01.03	ENTRY-LEGAL	A. Identity & Geometry	start_time	Session-OPEN proximity flag: within 30m of London or NY open (Y/N)
E01.04	ENTRY-LEGAL	A. Identity & Geometry	start_time	Session-CLOSE proximity flag (Y/N)
E01.05	ENTRY-LEGAL	A. Identity & Geometry	start_time	Binance funding-window proximity: 00/08/16 UTC (Y/N + minutes)
E01.06	ENTRY-LEGAL	A. Identity & Geometry	start_time	Day-of-week / weekend flag
E01.07	ENTRY-LEGAL	A. Identity & Geometry	start_time	Top-of-hour or half-hour flag (algo-clock effects)
E01.08	ENTRY-LEGAL	A. Identity & Geometry	start_time	Minutes since UTC midnight (day position)
E01.09	ENTRY-LEGAL	A. Identity & Geometry	start_time	US data-hour flag (12:30 / 14:00 UTC class times)
E01.10	ENTRY-LEGAL	A. Identity & Geometry	start_time	Minutes since prior session's close
E01.11	ENTRY-LEGAL	A. Identity & Geometry	start_time	Same-hour historical norm join key
E01.12	ENTRY-LEGAL	A. Identity & Geometry	start_time	Month / quarter position (calendar seasonality key)
E02.01	ENTRY-LEGAL	A. Identity & Geometry	end_time	UTC hour-of-day at close
E02.02	ENTRY-LEGAL	A. Identity & Geometry	end_time	Session tag at close
E02.03	ENTRY-LEGAL	A. Identity & Geometry	end_time	Session-STRADDLE flag: opened in one session, closed in another (Y/N)
E02.04	ENTRY-LEGAL	A. Identity & Geometry	end_time	Funding-timestamp straddle flag (crossed 00/08/16 UTC) (Y/N)
E02.05	ENTRY-LEGAL	A. Identity & Geometry	end_time	Round-hour close proximity (Y/N)
E02.06	ENTRY-LEGAL	A. Identity & Geometry	end_time	Day-of-week at close / weekend flag
E02.07	ENTRY-LEGAL	A. Identity & Geometry	end_time	Gap to NEXT bucket's start (tape idle time)
E02.08	ENTRY-LEGAL	A. Identity & Geometry	end_time	Elapsed fraction of the current session
E02.09	ENTRY-LEGAL	A. Identity & Geometry	end_time	Proximity to daily (00:00 UTC) candle close
E02.10	ENTRY-LEGAL	A. Identity & Geometry	end_time	Close inside a scheduled-news window flag
E03.01	ENTRY-LEGAL	A. Identity & Geometry	duration	Raw seconds / log-duration
E03.02	ENTRY-LEGAL	A. Identity & Geometry	duration	Duration percentile vs trailing 30 and 240 buckets
E03.03	ENTRY-LEGAL	A. Identity & Geometry	duration	Duration z-score vs trailing window
E03.04	ENTRY-LEGAL	A. Identity & Geometry	duration	FAST-fill flag: bottom decile (Y/N)
E03.05	ENTRY-LEGAL	A. Identity & Geometry	duration	SLOW-fill flag: top decile (Y/N)
E03.06	ENTRY-LEGAL	A. Identity & Geometry	duration	Duration vs same-UTC-hour historical norm
E03.07	ENTRY-LEGAL	A. Identity & Geometry	duration	Fast/slow STREAK length (consecutive buckets same class)
E03.08	ENTRY-LEGAL	A. Identity & Geometry	duration	Duration acceleration: ratio vs prior bucket
E03.09	ENTRY-LEGAL	A. Identity & Geometry	duration	Implied tape-pace regime tag (quiet/normal/hot)
E03.10	ENTRY-LEGAL	A. Identity & Geometry	duration	Duration share of the trailing-10 total (burstiness)
E04.01	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Gap vs prior close: size, sign, gap-in-ticks
E04.02	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Round-number proximity of each price (xx00 / xx50)
E04.03	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	New N-bucket HIGH flag / new N-bucket LOW flag
E04.04	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Relation to prior bucket: inside / engulfing / breakout tag
E04.05	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Close>open sign (up/down bucket)
E04.06	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Close position within range, 0..1
E04.07	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Equal-highs / equal-lows vs recent extremes (resting-liquidity pools)
E04.08	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	True range (gap-adjusted) vs raw range
E04.09	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Log return open->close
E04.10	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Close vs POC side (above/below the control price)
E04.11	ENTRY-LEGAL	A. Identity & Geometry	open / high / low / close	Distance of close to nearest round number in ticks
E05.01	ENTRY-LEGAL	A. Identity & Geometry	range	Absolute range / range in ticks
E05.02	ENTRY-LEGAL	A. Identity & Geometry	range	Range percentile vs trailing 30/240
E05.03	ENTRY-LEGAL	A. Identity & Geometry	range	Range z-score
E05.04	ENTRY-LEGAL	A. Identity & Geometry	range	Range vs ATR ratio (the compression/expansion read)
E05.05	ENTRY-LEGAL	A. Identity & Geometry	range	COMPRESSION flag: range < 0.60 x ATR (Y/N)
E05.06	ENTRY-LEGAL	A. Identity & Geometry	range	EXPANSION flag: range > 1.20 x ATR (Y/N)
E05.07	ENTRY-LEGAL	A. Identity & Geometry	range	Expanding/contracting range STREAK
E05.08	ENTRY-LEGAL	A. Identity & Geometry	range	Range per second (volatility pace)
E05.09	ENTRY-LEGAL	A. Identity & Geometry	range	Share of the day's range contributed so far
E05.10	ENTRY-LEGAL	A. Identity & Geometry	range	Range rank within the session
E06.01	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Sign (direction) and magnitude
E06.02	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Log return of the body
E06.03	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Body percentile / z-score vs window
E06.04	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Same-direction streak length
E06.05	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Reversal flag vs prior bucket direction (Y/N)
E06.06	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Body ratio vs prior body (momentum of result)
E06.07	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Net progress over trailing N buckets (drift context)
E06.08	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Marubozu-ness: body ~ range (Y/N)
E06.09	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Body-in-ticks vs fee+spread hurdle (economically meaningful move?)
E06.10	ENTRY-LEGAL	A. Identity & Geometry	result (body)	Contribution sign to trailing bucket-CVD of price
E07.01	ENTRY-LEGAL	A. Identity & Geometry	body fraction	Raw fraction 0..1
E07.02	ENTRY-LEGAL	A. Identity & Geometry	body fraction	TREND-BAR flag: fraction > 0.80 (Y/N)
E07.03	ENTRY-LEGAL	A. Identity & Geometry	body fraction	DOJI flag: fraction < 0.10 (Y/N)
E07.04	ENTRY-LEGAL	A. Identity & Geometry	body fraction	Percentile / z vs trailing window
E07.05	ENTRY-LEGAL	A. Identity & Geometry	body fraction	Trend-bar streak length
E07.06	ENTRY-LEGAL	A. Identity & Geometry	body fraction	Two-sided rejection flag (small body, both wicks large)
E07.07	ENTRY-LEGAL	A. Identity & Geometry	body fraction	Conviction class: low / mid / high
E07.08	ENTRY-LEGAL	A. Identity & Geometry	body fraction	Fraction x volume interaction (decisive AND heavy?)
E07.09	ENTRY-LEGAL	A. Identity & Geometry	body fraction	Rolling-mean fraction (regime trendiness)
E07.10	ENTRY-LEGAL	A. Identity & Geometry	body fraction	State-engine MOVED ramp value (0.55-0.80)
E08.01	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	Upper wick size / lower wick size (ticks)
E08.02	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	Upper/range and lower/range fractions
E08.03	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	Wick asymmetry: (upper-lower)/range
E08.04	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	PIN-BAR flag: one wick > 60% of range (Y/N)
E08.05	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	BOTH-WICKS flag: whipsaw shape (Y/N)
E08.06	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	Wick-to-body ratio per side
E08.07	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	Rejected side inference (which extreme got refused)
E08.08	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	Wick percentile vs trailing window
E08.09	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	Wick at NEW extreme flag (swept then rejected)
E08.10	ENTRY-LEGAL	A. Identity & Geometry	upper / lower wick	Wick into round-number / OB zone flag
E09.01	ENTRY-LEGAL	A. Identity & Geometry	poc_price	POC round-number proximity
E09.02	ENTRY-LEGAL	A. Identity & Geometry	poc_price	POC shift vs prior bucket's POC (migration size + direction)
E09.03	ENTRY-LEGAL	A. Identity & Geometry	poc_price	POC gap vs current close (ticks)
E09.04	ENTRY-LEGAL	A. Identity & Geometry	poc_price	POC at bucket extreme flag (top/bottom 15% of range)
E09.05	ENTRY-LEGAL	A. Identity & Geometry	poc_price	POC inside prior bucket's range flag (acceptance)
E09.06	ENTRY-LEGAL	A. Identity & Geometry	poc_price	Distance from POC to nearest order block
E09.07	ENTRY-LEGAL	A. Identity & Geometry	poc_price	Naked/untested prior POCs above and below (count, nearest)
E09.08	ENTRY-LEGAL	A. Identity & Geometry	poc_price	POC retest count over trailing window
E09.09	ENTRY-LEGAL	A. Identity & Geometry	poc_price	POC percentile within the day's range
E09.10	ENTRY-LEGAL	A. Identity & Geometry	poc_price	POC coincides with a heatmap wall price (6h) (Y/N)
E10.01	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	Raw 0..1 position
E10.02	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	HIGH-POC flag (>0.70) / LOW-POC flag (<0.30)
E10.03	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	CENTER-POC flag (0.40-0.60, balanced auction)
E10.04	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	Percentile vs trailing window
E10.05	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	POC-pos vs close-pos divergence (control vs settle)
E10.06	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	Trap-geometry ramp value (0.50-0.85)
E10.07	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	Persistently-high/low POC streak
E10.08	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	POC-pos flip vs prior bucket (rotation of control)
E10.09	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	Profile shape inference: p / b / D-shaped
E10.10	ENTRY-LEGAL	A. Identity & Geometry	poc_pos	POC-pos x direction interaction (control against the move?)
E11.01	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Overshoot ratio: curr_vol / target_vol (last-print spillover)
E11.02	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Volume percentile / z vs trailing window
E11.03	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Log volume
E11.04	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Share of trailing-N total volume (activity concentration)
E11.05	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Above/below-mean volume streak
E11.06	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Volume per tick of range (grind density)
E11.07	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Same-UTC-hour normalized volume (session-relative heat)
E11.08	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Cumulative session volume position
E11.09	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Day-rank of the bucket's volume
E11.10	ENTRY-LEGAL	B. Volume & Aggression Flow	curr_vol	Volume regime tag (quiet / normal / heavy)
E12.01	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Buy share: buy_vol / curr_vol
E12.02	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Buy z-score / percentile vs trailing window
E12.03	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Buy-dominance streak (share > 0.5)
E12.04	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Change in buy share vs prior bucket
E12.05	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Buy volume per second (buy pace)
E12.06	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Day-rank of buy volume
E12.07	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Extreme-buy flag: top decile (Y/N)
E12.08	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Log buy volume
E12.09	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Buy share vs same-hour norm
